about,address,area_service,booking_appointment_link,business_status,category,cid,city,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
[],"XQR9+54M, Lane, beside Rishi Hotel, Radha Vasudev Batavia Nagar, Govind Nagar, Nashik, Maharashtra 422008, India",false,,OPERATIONAL,Sports club,4501492497748888754,Nashik,India,IN,"Radha Vasudev Batavia Nagar, Govind Nagar",,0x3bddeb0060c281bd:0x3e788393a7688cb2,896099a0517ffff,/g/11yx92yb3f,19.990459899999998,,,"https://www.google.com/maps/place/Pickleball+Paradise+by+Ages+Ventures/@19.990459899999998,73.7677937,14z/data=!4m8!1m2!2m1!1sPickleball+Paradise+by+Ages+Ventures!3m4!1s0x3bddeb0060c281bd:0x3e788393a7688cb2!8m2!3d19.990459899999998!4d73.7677937","https://www.google.com/maps/place/Pickleball+Paradise+by+Ages+Ventures/@19.990459899999998,73.7677937,13.99z/data=!4m16!1m7!3m6!1s0x3bddeb0060c281bd:0x3e788393a7688cb2!2sPickleball+Paradise+by+Ages+Ventures!8m2!3d19.990459899999998!4d73.7677937!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bddeb0060c281bd:0x3e788393a7688cb2!8m2!3d19.990459899999998!4d73.7677937!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,73.7677937,,Pickleball Paradise by Ages Ventures,Pickleball Paradise By Ages Ventures,,,,,Pickleball Paradise by Ages Ventures,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_Pe9U58LFNuSzv3N2lp2eXsytwq4PxaVC3y67meJ3RZSHhUBEK4pqivKaDdoe6ovk2MTXozPRhEfUO2VQ74ddFE0F2fZtaIj_Pez9O30oUs56tCZcJSJ7UNnJDa4p0j73CFaBaCAj6FVp=w800-h500-k-no,12,ChIJvYHCYADr3TsRsoxop5ODeD4,,,422008,,,Pickleball courts Nashik,,4.8,,24,4501492497748888754,https://search.google.com/local/reviews?placeid=ChIJvYHCYADr3TsRsoxop5ODeD4&q=*&authuser=0&hl=en&gl=US,"{""1"":0,""2"":0,""3"":1,""4"":4,""5"":19}",,Maharashtra,,"XQR9+54M, Lane, beside Rishi Hotel",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_Pe9U58LFNuSzv3N2lp2eXsytwq4PxaVC3y67meJ3RZSHhUBEK4pqivKaDdoe6ovk2MTXozPRhEfUO2VQ74ddFE0F2fZtaIj_Pez9O30oUs56tCZcJSJ7UNnJDa4p0j73CFaBaCAj6FVp=w1600-h1000-k-no,Sports club,Asia/Calcutta,Sports club,,false,,,
[],"51, Behind Westside Ikon Building, Shraddha Mall Road, College Rd, Yeolekar Mala, Nashik, Maharashtra 422005, India",false,,OPERATIONAL,Pickleball court,387913109782445634,Nashik,India,IN,"Yeolekar Mala, Krishi Nagar",,0x3bddeb356d1af2e3:0x56224eb084cbe42,896099a0563ffff,/g/11ypng8g25,20.001032499999997,,,"https://www.google.com/maps/place/GUTSHOT+PICKLEBALL/@20.001032499999997,73.7617929,14z/data=!4m8!1m2!2m1!1sGUTSHOT+PICKLEBALL!3m4!1s0x3bddeb356d1af2e3:0x56224eb084cbe42!8m2!3d20.001032499999997!4d73.7617929","https://www.google.com/maps/place/GUTSHOT+PICKLEBALL/@20.001032499999997,73.7617929,13.99z/data=!4m16!1m7!3m6!1s0x3bddeb356d1af2e3:0x56224eb084cbe42!2sGUTSHOT+PICKLEBALL!8m2!3d20.001032499999997!4d73.7617929!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bddeb356d1af2e3:0x56224eb084cbe42!8m2!3d20.001032499999997!4d73.7617929!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-3VbU9x580AU/AAAAAAAAAAI/AAAAAAAAAAA/4b1SLHYJeaU/s44-p-k-no-ns-nd/photo.jpg,73.7617929,,GUTSHOT PICKLEBALL,Gutshot Pickleball,,,113728096535418406131,https://www.google.com/maps/contrib/113728096535418406131,GUTSHOT PICKLEBALL,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPBtBEmeFu9IbMcDyPNthJ3YTyZrWrzdz9qEBlUO9eun9uk3LTy-lQPU24jU4rLlBgz6yedUBDAWyZElNiQW0UAxbUqtIHWDlPr4Odk-UwwQFwsfeBKQnFCiuxPz5Dd3qBObhj9sOIXtnS=w800-h500-k-no,4,ChIJ4_IabTXr3TsRQr5MCOskYgU,,,422005,,,Pickleball courts Nashik,,4.7,,14,387913109782445634,https://search.google.com/local/reviews?placeid=ChIJ4_IabTXr3TsRQr5MCOskYgU&q=*&authuser=0&hl=en&gl=US,"{""1"":1,""2"":0,""3"":0,""4"":0,""5"":13}",,Maharashtra,,"51, Behind Westside Ikon Building, Shraddha Mall Road, College Rd",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPBtBEmeFu9IbMcDyPNthJ3YTyZrWrzdz9qEBlUO9eun9uk3LTy-lQPU24jU4rLlBgz6yedUBDAWyZElNiQW0UAxbUqtIHWDlPr4Odk-UwwQFwsfeBKQnFCiuxPz5Dd3qBObhj9sOIXtnS=w1600-h1000-k-no,Pickleball court,Asia/Calcutta,Pickleball court,,true,,"{""Friday"":[""6AM-11PM""],""Monday"":[""6AM-11PM""],""Saturday"":[""6AM-11PM""],""Sunday"":[""6AM-11PM""],""Thursday"":[""6AM-11PM""],""Tuesday"":[""6AM-11PM""],""Wednesday"":[""6AM-11PM""]}","Sunday,6AM,11PM|Monday,6AM,11PM|Tuesday,6AM,11PM|Wednesday,6AM,11PM|Thursday,6AM,11PM|Friday,6AM,11PM|Saturday,6AM,11PM"
"{""Parking"":{""On-site parking"":true},""Payments"":{""Google Pay"":true}}","The pickleball club, dwarka nagari, Lam Rd, behind renuka gardens, opp. Saubhagya Nagar, Kothule Mala, Devlali, Nashik, Maharashtra 422401, India",false,,OPERATIONAL,Sports club,9151807225195419953,"Devlali, Nashik",India,IN,Kothule Mala,,0x3bdd957c9d37b48f:0x7f01c02ed6a05931,896099b084fffff,/g/11n3ws0v6k,19.9295586,,,"https://www.google.com/maps/place/The+Pickleball+Club+Devlali/@19.9295586,73.830602,14z/data=!4m8!1m2!2m1!1sThe+Pickleball+Club+Devlali!3m4!1s0x3bdd957c9d37b48f:0x7f01c02ed6a05931!8m2!3d19.9295586!4d73.830602","https://www.google.com/maps/place/The+Pickleball+Club+Devlali/@19.9295586,73.830602,13.99z/data=!4m16!1m7!3m6!1s0x3bdd957c9d37b48f:0x7f01c02ed6a05931!2sThe+Pickleball+Club+Devlali!8m2!3d19.9295586!4d73.830602!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bdd957c9d37b48f:0x7f01c02ed6a05931!8m2!3d19.9295586!4d73.830602!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-TsUl54MccHQ/AAAAAAAAAAI/AAAAAAAAAAA/3vKK7jsYJFI/s44-p-k-no-ns-nd/photo.jpg,73.830602,,The Pickleball Club Devlali,The Pickleball Club Devlali,,,117623384075684260405,https://www.google.com/maps/contrib/117623384075684260405,The Pickleball Club Devlali,+91 91585 00196,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHjRk72eFT1BjMjMmy1zZADuq8i40fNG2RCktiModYCkfegvzTnNNNKSeWBF-pmJwkdo7gy28pas90Dj3Vxc5Mf74jw3ZsxQcOoM770R3h-QnAll1l_nu_hqHIwZnrR2D9VByhENF-dzo7P=w800-h500-k-no,21,ChIJj7Q3nXyV3TsRMVmg1i7AAX8,,,422401,,,Pickleball courts Nashik,,4.9,,12,9151807225195419953,https://search.google.com/local/reviews?placeid=ChIJj7Q3nXyV3TsRMVmg1i7AAX8&q=*&authuser=0&hl=en&gl=US,"{""1"":0,""2"":0,""3"":0,""4"":1,""5"":11}",,Maharashtra,,"The pickleball club, dwarka nagari, Lam Rd, behind renuka gardens, opp. Saubhagya Nagar",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHjRk72eFT1BjMjMmy1zZADuq8i40fNG2RCktiModYCkfegvzTnNNNKSeWBF-pmJwkdo7gy28pas90Dj3Vxc5Mf74jw3ZsxQcOoM770R3h-QnAll1l_nu_hqHIwZnrR2D9VByhENF-dzo7P=w1600-h1000-k-no,"Sports club, Pickleball court, Recreation center",Asia/Calcutta,Sports club,,true,,"{""Friday"":[""7AM-11:30PM""],""Monday"":[""7AM-11:30PM""],""Saturday"":[""7AM-11:30PM""],""Sunday"":[""7AM-11:30PM""],""Thursday"":[""7AM-11:30PM""],""Tuesday"":[""7AM-11:30PM""],""Wednesday"":[""7AM-11:30PM""]}","Sunday,7AM,11:30PM|Monday,7AM,11:30PM|Tuesday,7AM,11:30PM|Wednesday,7AM,11:30PM|Thursday,7AM,11:30PM|Friday,7AM,11:30PM|Saturday,7AM,11:30PM"
[],"2PGV+V63, Chandshi, Nashik, Jalalpur, Maharashtra 422003, India",false,,OPERATIONAL,Sports club,8748197291115903149,"Nashik, Jalalpur",India,IN,Chandshi,,0x3bdded005944e467:0x7967d71619ff78ad,896099a0327ffff,/g/11nj0_37x6,20.0270101,,,"https://www.google.com/maps/place/The+Spinshot+-+Padel%2C+Pickleball+Club/@20.0270101,73.74296149999999,14z/data=!4m8!1m2!2m1!1sThe+Spinshot+-+Padel%2C+Pickleball+Club!3m4!1s0x3bdded005944e467:0x7967d71619ff78ad!8m2!3d20.0270101!4d73.74296149999999","https://www.google.com/maps/place/The+Spinshot+-+Padel%2C+Pickleball+Club/@20.0270101,73.74296149999999,13.99z/data=!4m16!1m7!3m6!1s0x3bdded005944e467:0x7967d71619ff78ad!2sThe+Spinshot+-+Padel%2C+Pickleball+Club!8m2!3d20.0270101!4d73.74296149999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bdded005944e467:0x7967d71619ff78ad!8m2!3d20.0270101!4d73.74296149999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,73.74296149999999,,"The Spinshot - Padel, Pickleball Club",The Spinshot Padel Pickleball Club,,,,,"The Spinshot - Padel, Pickleball Club",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHY8XAEzGOQShqeglh54hX8RvcuBkr9NOV0tfwAQtojVckb8gtVOQL_FaZIbku6IhjXgC8_wFry-FXo3N-gDScoIvyZ7gDvckO8H3QYEai98tVFspI_Y4JLSQcGSllsLycXuaH-7HI2i-dh=w800-h500-k-no,4,ChIJZ-REWQDt3TsRrXj_GRbXZ3k,,,422003,,,Pickleball courts Nashik,,5,,9,8748197291115903149,https://search.google.com/local/reviews?placeid=ChIJZ-REWQDt3TsRrXj_GRbXZ3k&q=*&authuser=0&hl=en&gl=US,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":9}",,Maharashtra,,2PGV+V63,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHY8XAEzGOQShqeglh54hX8RvcuBkr9NOV0tfwAQtojVckb8gtVOQL_FaZIbku6IhjXgC8_wFry-FXo3N-gDScoIvyZ7gDvckO8H3QYEai98tVFspI_Y4JLSQcGSllsLycXuaH-7HI2i-dh=w1600-h1000-k-no,Sports club,Asia/Calcutta,Sports club,,false,,"{""Friday"":[""6AM-12AM""],""Monday"":[""6AM-12AM""],""Saturday"":[""6AM-12AM""],""Sunday"":[""6AM-12AM""],""Thursday"":[""6AM-12AM""],""Tuesday"":[""6AM-12AM""],""Wednesday"":[""6AM-12AM""]}","Sunday,6AM,12AM|Monday,6AM,12AM|Tuesday,6AM,12AM|Wednesday,6AM,12AM|Thursday,6AM,12AM|Friday,6AM,12AM|Saturday,6AM,12AM"
[],"Chandshi, Maharashtra 422003, India",false,,OPERATIONAL,Pickleball court,7288620752599820188,Chandshi,India,IN,Chandshi,,0x3bddeb002c05727f:0x652661f52d40a79c,896099a0307ffff,/g/11nc8qvp3_,20.0274096,,,"https://www.google.com/maps/place/Paradise+Pickleball+Hub+Nashik/@20.0274096,73.7531587,14z/data=!4m8!1m2!2m1!1sParadise+Pickleball+Hub+Nashik!3m4!1s0x3bddeb002c05727f:0x652661f52d40a79c!8m2!3d20.0274096!4d73.7531587","https://www.google.com/maps/place/Paradise+Pickleball+Hub+Nashik/@20.0274096,73.7531587,13.99z/data=!4m16!1m7!3m6!1s0x3bddeb002c05727f:0x652661f52d40a79c!2sParadise+Pickleball+Hub+Nashik!8m2!3d20.0274096!4d73.7531587!16s%2Fg%2F11ckvg1dmb!3m7!1s0x3bddeb002c05727f:0x652661f52d40a79c!8m2!3d20.0274096!4d73.7531587!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-h-RPHJ-lFfw/AAAAAAAAAAI/AAAAAAAAAAA/HkPKSwKJLkY/s44-p-k-no-ns-nd/photo.jpg,73.7531587,,Paradise Pickleball Hub Nashik,Paradise Pickleball Hub Nashik,,,117271284087604206436,https://www.google.com/maps/contrib/117271284087604206436,Paradise Pickleball Hub Nashik,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFFIJKz2KbhmussrZl6E-kktymfSGzsyrYaZEU0xPHmEzOUpgwg9RhJoERuDXioCs6Sjlp_WtNTIBlf05znuMVYKDVraTHBSueWfYYOtRf2BGPeQSG59ULRnbXDjhYoqlrUro4USIUhvDZx=w800-h500-k-no,7,ChIJf3IFLADr3TsRnKdALfVhJmU,,,422003,,,Pickleball courts Nashik,,,,,,,,,Maharashtra,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFFIJKz2KbhmussrZl6E-kktymfSGzsyrYaZEU0xPHmEzOUpgwg9RhJoERuDXioCs6Sjlp_WtNTIBlf05znuMVYKDVraTHBSueWfYYOtRf2BGPeQSG59ULRnbXDjhYoqlrUro4USIUhvDZx=w1600-h1000-k-no,Pickleball court,Asia/Calcutta,Pickleball court,,true,,,
